"id" ;"levenshtein_text_first_255" ;"diff_ari" ;"diff_characters_text" ;"diff_coleman_liau_text" ;"diff_complexwords_text" ;"diff_flesch_kincaid_text" ;"diff_flesch_reading_text" ;"diff_gunning_fog_text" ;"diff_sentences_text" ;"diff_smog_index_text" ;"diff_smog_text" ;"diff_syllables_text" ;"diff_words_text" ;"good" ;"comm_name"
38,155 ;218 ;2.401 ;3,721 ;2.001 ;151 ;2.576 ;4.217 ;2 ;52 ;1.177 ;1.227 ;1,283 ;800 ;yes ;chemistry.stackexchange.com
38,156 ;197 ;4.135 ;61 ;0.398 ;2 ;1.957 ;0.431 ;2.8 ;4 ;2.449 ;2.555 ;38 ;15 ;yes ;chemistry.stackexchange.com
38,156 ;206 ;0.605 ;234 ;0.391 ;19 ;1.085 ;6.739 ;3.6 ;2 ;3.164 ;3.3 ;86 ;48 ;yes ;chemistry.stackexchange.com
38,156 ;202 ;5.035 ;249 ;4.774 ;20 ;3.379 ;19.893 ;5.6 ;1 ;4.501 ;4.695 ;79 ;35 ;yes ;chemistry.stackexchange.com
38,157 ;208 ;7.186 ;714 ;2.593 ;40 ;6.237 ;23.656 ;8 ;2 ;5.482 ;5.718 ;263 ;143 ;yes ;chemistry.stackexchange.com
38,157 ;210 ;5.372 ;803 ;1.465 ;36 ;3.688 ;11.482 ;3.6 ;5 ;2.336 ;2.436 ;287 ;163 ;yes ;chemistry.stackexchange.com
38,160 ;193 ;6.072 ;407 ;2.352 ;12 ;4.381 ;10.774 ;5.2 ;2 ;3.096 ;3.229 ;140 ;89 ;yes ;chemistry.stackexchange.com
38,160 ;194 ;3.562 ;403 ;0.036 ;13 ;3.681 ;10.954 ;4.8 ;3 ;2.895 ;3.019 ;143 ;90 ;yes ;chemistry.stackexchange.com
38,163 ;202 ;0.181 ;460 ;1.231 ;8 ;1.343 ;16.628 ;2 ;5 ;0.972 ;1.014 ;148 ;110 ;yes ;chemistry.stackexchange.com
38,163 ;199 ;3.4 ;271 ;4.312 ;18 ;4.557 ;32.843 ;6.4 ;4 ;4.01 ;4.182 ;104 ;50 ;yes ;chemistry.stackexchange.com
38,163 ;209 ;6.6 ;331 ;0.647 ;15 ;5.525 ;15.1 ;5.2 ;1 ;3.929 ;4.098 ;127 ;70 ;yes ;chemistry.stackexchange.com
38,164 ;195 ;5.368 ;940 ;3.071 ;39 ;4.441 ;4.579 ;5.6 ;6 ;5.04 ;5.256 ;335 ;226 ;yes ;chemistry.stackexchange.com
38,164 ;200 ;4.784 ;855 ;1.425 ;37 ;4.239 ;6.445 ;5.6 ;6 ;3.744 ;3.905 ;306 ;205 ;yes ;chemistry.stackexchange.com
38,164 ;217 ;1.183 ;724 ;5.51 ;32 ;0.083 ;12.074 ;1.6 ;6 ;1.157 ;1.205 ;264 ;184 ;yes ;chemistry.stackexchange.com
38,165 ;207 ;10.734 ;1,191 ;5.458 ;3 ;9.457 ;11.173 ;8.4 ;1 ;0.657 ;0.685 ;502 ;426 ;yes ;chemistry.stackexchange.com
38,165 ;186 ;15.57 ;2,363 ;2.87 ;50 ;13.042 ;24.17 ;14.8 ;11 ;5.18 ;5.402 ;905 ;677 ;yes ;chemistry.stackexchange.com
38,166 ;210 ;10.118 ;613 ;0.45 ;23 ;7.557 ;16.571 ;8.4 ;13 ;4.124 ;4.302 ;219 ;135 ;yes ;chemistry.stackexchange.com
38,166 ;211 ;9.556 ;145 ;2.113 ;10 ;7.141 ;20.322 ;9.2 ;2 ;5.072 ;5.29 ;46 ;28 ;yes ;chemistry.stackexchange.com
38,166 ;208 ;0.737 ;226 ;4.122 ;19 ;0.256 ;19.052 ;0.4 ;2 ;1.357 ;1.416 ;85 ;18 ;yes ;chemistry.stackexchange.com
38,167 ;212 ;8.872 ;600 ;0.333 ;23 ;6.232 ;11.179 ;7.2 ;13 ;3.882 ;4.048 ;223 ;119 ;yes ;chemistry.stackexchange.com
38,167 ;205 ;0.285 ;1,007 ;1.989 ;34 ;0.536 ;0.806 ;1.6 ;13 ;1.083 ;1.129 ;351 ;200 ;yes ;chemistry.stackexchange.com
38,167 ;204 ;2.622 ;1,183 ;3.94 ;40 ;3.221 ;24.976 ;3.2 ;15 ;1.645 ;1.716 ;418 ;249 ;yes ;chemistry.stackexchange.com
38,168 ;205 ;9.627 ;21 ;0.522 ;7 ;6.161 ;5.671 ;6.4 ;7 ;3.704 ;3.863 ;10 ;13 ;yes ;chemistry.stackexchange.com
38,168 ;204 ;0.47 ;386 ;1.8 ;18 ;0.465 ;6.314 ;0.8 ;7 ;0.905 ;0.944 ;138 ;68 ;yes ;chemistry.stackexchange.com
38,168 ;195 ;3.377 ;562 ;4.129 ;24 ;3.15 ;19.468 ;2.4 ;9 ;1.467 ;1.531 ;205 ;117 ;yes ;chemistry.stackexchange.com
38,169 ;212 ;0.841 ;111 ;1.304 ;6 ;1.189 ;6.388 ;1.6 ;1 ;0.914 ;0.954 ;44 ;24 ;yes ;chemistry.stackexchange.com
38,171 ;187 ;9.295 ;1,526 ;0.861 ;34 ;6.871 ;2.302 ;5.2 ;8 ;3.242 ;3.382 ;520 ;346 ;yes ;chemistry.stackexchange.com
38,171 ;195 ;8.711 ;1,441 ;0.785 ;32 ;6.669 ;13.326 ;5.2 ;8 ;1.946 ;2.031 ;491 ;325 ;yes ;chemistry.stackexchange.com
38,171 ;212 ;2.744 ;1,310 ;3.3 ;27 ;2.347 ;5.193 ;1.2 ;8 ;0.641 ;0.669 ;449 ;304 ;yes ;chemistry.stackexchange.com
38,172 ;185 ;6.686 ;6,339 ;0.98 ;196 ;5.051 ;9.485 ;6.4 ;57 ;3.818 ;3.983 ;2,236 ;1,471 ;yes ;chemistry.stackexchange.com
38,172 ;193 ;4.176 ;6,335 ;1.336 ;197 ;4.351 ;9.665 ;6 ;58 ;3.617 ;3.773 ;2,239 ;1,472 ;yes ;chemistry.stackexchange.com
38,173 ;215 ;1.903 ;698 ;3.547 ;36 ;2.074 ;18.196 ;3.2 ;9 ;2.886 ;3.01 ;249 ;137 ;yes ;chemistry.stackexchange.com
38,173 ;218 ;2.465 ;60 ;1.884 ;3 ;2.49 ;14.445 ;2.4 ;2 ;1.938 ;2.022 ;16 ;26 ;yes ;chemistry.stackexchange.com
38,173 ;218 ;11.284 ;311 ;8.119 ;32 ;9.887 ;53.819 ;11.2 ;2 ;8.367 ;8.728 ;115 ;20 ;yes ;chemistry.stackexchange.com
38,181 ;208 ;4.853 ;67 ;0.731 ;7 ;4.384 ;12.062 ;5.2 ;4 ;3.104 ;3.238 ;35 ;21 ;yes ;chemistry.stackexchange.com
38,181 ;199 ;8.434 ;798 ;2.35 ;33 ;7.598 ;28.277 ;9.6 ;5 ;6.142 ;6.406 ;287 ;181 ;yes ;chemistry.stackexchange.com
38,181 ;211 ;1.566 ;196 ;2.609 ;0 ;2.484 ;19.666 ;2 ;2 ;1.797 ;1.874 ;56 ;61 ;yes ;chemistry.stackexchange.com
38,182 ;207 ;1.42 ;248 ;0.465 ;6 ;0.696 ;1.393 ;1.2 ;2 ;0.444 ;0.464 ;83 ;64 ;yes ;chemistry.stackexchange.com
38,182 ;198 ;4.225 ;414 ;2.304 ;7 ;2.341 ;10.525 ;1.6 ;2 ;0.914 ;0.954 ;141 ;111 ;yes ;chemistry.stackexchange.com
38,182 ;184 ;1.232 ;298 ;4.139 ;2 ;0.076 ;16.727 ;0.4 ;2 ;1.214 ;1.266 ;99 ;86 ;yes ;chemistry.stackexchange.com
38,183 ;217 ;7.149 ;1,852 ;1.294 ;73 ;5.272 ;5.791 ;5.6 ;8 ;3.431 ;3.579 ;688 ;445 ;yes ;chemistry.stackexchange.com
38,183 ;222 ;3.619 ;2,147 ;1.301 ;94 ;4.4 ;12.099 ;6.4 ;14 ;4.146 ;4.324 ;812 ;508 ;yes ;chemistry.stackexchange.com
38,183 ;217 ;8.049 ;2,162 ;3.082 ;95 ;6.694 ;25.253 ;8.4 ;13 ;5.483 ;5.719 ;805 ;495 ;yes ;chemistry.stackexchange.com
38,186 ;211 ;0.25 ;69 ;2.804 ;5 ;0.195 ;10.328 ;0.8 ;2 ;0.151 ;0.157 ;22 ;3 ;yes ;chemistry.stackexchange.com
38,186 ;195 ;2.555 ;235 ;0.965 ;6 ;1.45 ;1.196 ;0.4 ;2 ;0.621 ;0.647 ;80 ;50 ;yes ;chemistry.stackexchange.com
38,186 ;188 ;0.438 ;119 ;0.87 ;1 ;0.967 ;5.006 ;2.4 ;2 ;1.507 ;1.573 ;38 ;25 ;yes ;chemistry.stackexchange.com
38,189 ;207 ;69.1 ;687 ;3.95 ;34 ;53.375 ;122.426 ;55.2 ;16 ;9.964 ;10.393 ;243 ;124 ;yes ;chemistry.stackexchange.com
38,189 ;212 ;68.538 ;71 ;2.287 ;1 ;52.959 ;126.177 ;56 ;5 ;10.912 ;11.381 ;22 ;39 ;yes ;chemistry.stackexchange.com
38,189 ;207 ;59.719 ;300 ;8.522 ;30 ;45.562 ;86.803 ;47.2 ;5 ;4.483 ;4.675 ;109 ;7 ;yes ;chemistry.stackexchange.com
38,190 ;201 ;12.942 ;726 ;5.813 ;9 ;11.022 ;43.779 ;9.6 ;3 ;6.211 ;6.478 ;242 ;167 ;yes ;chemistry.stackexchange.com
38,190 ;220 ;0.624 ;70 ;0.649 ;12 ;0.898 ;10.511 ;1.2 ;1 ;2.663 ;2.778 ;48 ;11 ;yes ;chemistry.stackexchange.com
38,190 ;220 ;4.742 ;588 ;2.472 ;2 ;3.373 ;2.6 ;2.8 ;3 ;1.035 ;1.079 ;193 ;148 ;yes ;chemistry.stackexchange.com
38,192 ;214 ;4.91 ;381 ;3.388 ;10 ;5.591 ;32.242 ;7.2 ;5 ;5.865 ;6.117 ;105 ;103 ;yes ;chemistry.stackexchange.com
38,192 ;210 ;3.065 ;804 ;0.216 ;34 ;2.587 ;8.244 ;3.2 ;8 ;1.987 ;2.073 ;282 ;160 ;yes ;chemistry.stackexchange.com
38,192 ;206 ;5.854 ;348 ;2.224 ;17 ;3.233 ;8.658 ;4 ;1 ;2.76 ;2.878 ;113 ;62 ;yes ;chemistry.stackexchange.com
38,193 ;199 ;0.033 ;939 ;0.338 ;18 ;0.048 ;1.191 ;2 ;9 ;1.492 ;1.556 ;319 ;207 ;yes ;chemistry.stackexchange.com
38,193 ;203 ;6.652 ;1,775 ;4.479 ;53 ;4.211 ;19.252 ;2.4 ;16 ;1.366 ;1.426 ;598 ;378 ;yes ;chemistry.stackexchange.com
38,193 ;203 ;0.883 ;228 ;0.557 ;33 ;1.189 ;6.962 ;2.4 ;1 ;2.078 ;2.167 ;96 ;40 ;yes ;chemistry.stackexchange.com
38,195 ;200 ;0.003 ;156 ;1.481 ;13 ;0.351 ;6.733 ;2.8 ;1 ;2.332 ;2.432 ;47 ;48 ;yes ;chemistry.stackexchange.com
38,195 ;199 ;6.682 ;992 ;3.336 ;22 ;3.908 ;13.71 ;1.6 ;8 ;0.526 ;0.55 ;326 ;219 ;yes ;chemistry.stackexchange.com
38,195 ;203 ;0.853 ;1,011 ;1.7 ;64 ;1.492 ;12.504 ;3.2 ;9 ;2.918 ;3.043 ;368 ;199 ;yes ;chemistry.stackexchange.com
38,196 ;201 ;8.45 ;1,816 ;3.806 ;91 ;7.389 ;33.714 ;8.4 ;12 ;5.878 ;6.131 ;649 ;356 ;yes ;chemistry.stackexchange.com
38,196 ;223 ;10.779 ;1,592 ;6.591 ;83 ;7.946 ;34.492 ;9.2 ;7 ;6.321 ;6.593 ;557 ;296 ;yes ;chemistry.stackexchange.com
38,200 ;210 ;3.861 ;5,684 ;0.194 ;204 ;5.013 ;22.745 ;4.8 ;52 ;2.911 ;3.036 ;2,055 ;1,234 ;yes ;chemistry.stackexchange.com
38,200 ;209 ;5.12 ;5,586 ;1.987 ;206 ;5.83 ;26.375 ;7.6 ;50 ;5.18 ;5.402 ;2,022 ;1,210 ;yes ;chemistry.stackexchange.com
38,200 ;209 ;3.953 ;5,752 ;0.675 ;204 ;2.699 ;7.19 ;2.8 ;53 ;1.713 ;1.786 ;2,067 ;1,248 ;yes ;chemistry.stackexchange.com
38,203 ;222 ;11.151 ;793 ;3.82 ;33 ;8.633 ;27.353 ;9.6 ;1 ;5.819 ;6.069 ;275 ;169 ;yes ;chemistry.stackexchange.com
38,203 ;217 ;2.083 ;427 ;2.526 ;12 ;1.266 ;6.001 ;0.8 ;5 ;0.575 ;0.599 ;143 ;90 ;yes ;chemistry.stackexchange.com
38,203 ;201 ;1.857 ;2 ;2.504 ;8 ;2.703 ;17.047 ;4.4 ;1 ;2.829 ;2.95 ;8 ;6 ;yes ;chemistry.stackexchange.com
38,204 ;219 ;33.304 ;546 ;1.902 ;23 ;26.292 ;72.436 ;26.8 ;5 ;12.13 ;12.651 ;192 ;113 ;yes ;chemistry.stackexchange.com
38,204 ;207 ;0.672 ;259 ;0.88 ;13 ;0.855 ;1.235 ;0.8 ;4 ;0.867 ;0.905 ;86 ;55 ;yes ;chemistry.stackexchange.com
38,204 ;199 ;3.728 ;94 ;2.945 ;6 ;2.651 ;2.66 ;2 ;2 ;0.139 ;0.145 ;31 ;40 ;yes ;chemistry.stackexchange.com
38,205 ;208 ;4.733 ;1,038 ;0.348 ;35 ;4.226 ;11.579 ;2.8 ;6 ;1.293 ;1.348 ;377 ;238 ;yes ;chemistry.stackexchange.com
38,205 ;204 ;3.567 ;971 ;1.266 ;38 ;2.823 ;8.284 ;3.2 ;6 ;2.147 ;2.24 ;348 ;219 ;yes ;chemistry.stackexchange.com
38,206 ;200 ;13.862 ;409 ;8.079 ;14 ;12.878 ;60.268 ;8 ;0 ;5.539 ;5.777 ;151 ;72 ;yes ;chemistry.stackexchange.com
38,206 ;197 ;9.11 ;427 ;4.201 ;16 ;8.457 ;40.147 ;6.8 ;2 ;4.501 ;4.695 ;155 ;79 ;yes ;chemistry.stackexchange.com
38,206 ;213 ;10.062 ;107 ;4.721 ;4 ;8.04 ;35.253 ;6.4 ;3 ;3.966 ;4.137 ;36 ;4 ;yes ;chemistry.stackexchange.com
38,207 ;194 ;6.418 ;270 ;4.022 ;11 ;6.772 ;31.455 ;4.4 ;1 ;3.392 ;3.537 ;102 ;58 ;yes ;chemistry.stackexchange.com
38,207 ;187 ;1.666 ;288 ;0.144 ;13 ;2.351 ;11.334 ;3.2 ;3 ;2.354 ;2.455 ;106 ;65 ;yes ;chemistry.stackexchange.com
38,207 ;205 ;2.618 ;32 ;0.664 ;1 ;1.934 ;6.44 ;2.8 ;2 ;1.819 ;1.897 ;13 ;10 ;yes ;chemistry.stackexchange.com
38,208 ;217 ;26.211 ;466 ;0.17 ;17 ;20.508 ;51.299 ;21.6 ;9 ;8.763 ;9.14 ;158 ;90 ;yes ;chemistry.stackexchange.com
38,208 ;200 ;6.421 ;1,271 ;2.612 ;53 ;4.929 ;19.902 ;6 ;8 ;4.234 ;4.416 ;436 ;258 ;yes ;chemistry.stackexchange.com
38,208 ;200 ;3.365 ;918 ;4.677 ;46 ;3.133 ;23.797 ;3.2 ;6 ;3.506 ;3.656 ;319 ;163 ;yes ;chemistry.stackexchange.com
38,209 ;219 ;33.334 ;315 ;2.516 ;8 ;25.72 ;69.977 ;26.4 ;16 ;12.065 ;12.584 ;120 ;86 ;yes ;chemistry.stackexchange.com
38,209 ;202 ;0.702 ;1,120 ;0.266 ;44 ;0.283 ;1.224 ;1.2 ;15 ;0.932 ;0.972 ;398 ;254 ;yes ;chemistry.stackexchange.com
38,209 ;201 ;3.758 ;767 ;2.331 ;37 ;2.079 ;5.119 ;1.6 ;13 ;0.204 ;0.212 ;281 ;159 ;yes ;chemistry.stackexchange.com
38,210 ;207 ;5.778 ;225 ;6.619 ;15 ;3.475 ;26.034 ;5.2 ;2 ;4.54 ;4.736 ;65 ;26 ;yes ;chemistry.stackexchange.com
38,210 ;203 ;8.33 ;169 ;12.606 ;5 ;10.941 ;90.372 ;14.8 ;3 ;6.711 ;7.001 ;55 ;59 ;yes ;chemistry.stackexchange.com
38,210 ;223 ;8.678 ;801 ;5.474 ;38 ;8.132 ;42.984 ;8.8 ;5 ;6.848 ;7.143 ;301 ;162 ;yes ;chemistry.stackexchange.com
38,211 ;200 ;1.864 ;20 ;2.358 ;13 ;2.21 ;2.483 ;0 ;2 ;0.797 ;0.831 ;11 ;16 ;yes ;chemistry.stackexchange.com
38,211 ;193 ;8.549 ;816 ;2.459 ;22 ;6.469 ;22.926 ;4.4 ;5 ;2.061 ;2.151 ;290 ;187 ;yes ;chemistry.stackexchange.com
38,211 ;210 ;1.014 ;1,187 ;2.577 ;64 ;1.069 ;3.288 ;0.4 ;12 ;1.383 ;1.442 ;404 ;231 ;yes ;chemistry.stackexchange.com
38,212 ;201 ;5.708 ;960 ;0.742 ;37 ;3.938 ;2.762 ;5.6 ;7 ;4.766 ;4.971 ;334 ;223 ;yes ;chemistry.stackexchange.com
38,212 ;224 ;2.284 ;374 ;0.051 ;14 ;1.533 ;2.706 ;1.6 ;2 ;1.029 ;1.073 ;127 ;86 ;yes ;chemistry.stackexchange.com
38,212 ;219 ;2.237 ;594 ;2.892 ;18 ;2.193 ;15.993 ;2.8 ;6 ;2.043 ;2.131 ;205 ;147 ;yes ;chemistry.stackexchange.com
38,213 ;222 ;1.553 ;611 ;0.056 ;26 ;0.273 ;3.415 ;2.4 ;7 ;1.584 ;1.652 ;235 ;122 ;yes ;chemistry.stackexchange.com
38,213 ;220 ;8.852 ;998 ;6.859 ;50 ;7.836 ;41.338 ;7.2 ;8 ;5.124 ;5.344 ;370 ;190 ;yes ;chemistry.stackexchange.com
38,213 ;224 ;1.116 ;863 ;0.471 ;38 ;0.08 ;7.588 ;1.2 ;8 ;0.213 ;0.222 ;316 ;175 ;yes ;chemistry.stackexchange.com
38,215 ;218 ;12.392 ;390 ;2.909 ;18 ;8.965 ;28.422 ;9.2 ;1 ;4.546 ;4.742 ;118 ;58 ;yes ;chemistry.stackexchange.com
38,215 ;221 ;10.496 ;608 ;0.327 ;24 ;8.138 ;19.041 ;9.2 ;1 ;4.619 ;4.818 ;229 ;153 ;yes ;chemistry.stackexchange.com
38,215 ;201 ;10.784 ;749 ;2.501 ;24 ;7.827 ;7.724 ;7.6 ;2 ;3.537 ;3.689 ;281 ;194 ;yes ;chemistry.stackexchange.com
38,252 ;207 ;3.536 ;396 ;3.012 ;1 ;0.462 ;0.698 ;1.6 ;2 ;1.171 ;1.222 ;95 ;63 ;yes ;chemistry.stackexchange.com
38,252 ;213 ;3.979 ;323 ;3.325 ;21 ;2.299 ;11.781 ;0.8 ;5 ;0.554 ;0.578 ;130 ;85 ;yes ;chemistry.stackexchange.com
38,252 ;192 ;5.055 ;592 ;2.157 ;31 ;5.971 ;25.243 ;8 ;5 ;5.324 ;5.553 ;228 ;135 ;yes ;chemistry.stackexchange.com
38,253 ;208 ;1.676 ;157 ;2.742 ;4 ;1.969 ;2.513 ;2.8 ;1 ;1.047 ;1.092 ;72 ;72 ;yes ;chemistry.stackexchange.com
38,253 ;218 ;1.233 ;876 ;3.055 ;24 ;0.132 ;14.992 ;2 ;6 ;0.43 ;0.448 ;297 ;220 ;yes ;chemistry.stackexchange.com
38,253 ;202 ;10.267 ;1,145 ;2.427 ;34 ;8.402 ;22.032 ;9.2 ;6 ;5.2 ;5.423 ;395 ;270 ;yes ;chemistry.stackexchange.com
38,254 ;196 ;1.453 ;728 ;4.247 ;16 ;0.694 ;1.944 ;2.8 ;7 ;1.989 ;2.075 ;222 ;134 ;yes ;chemistry.stackexchange.com
38,254 ;213 ;1.896 ;9 ;4.56 ;4 ;1.143 ;14.423 ;2 ;0 ;1.372 ;1.431 ;3 ;14 ;yes ;chemistry.stackexchange.com
38,254 ;184 ;7.138 ;260 ;0.922 ;14 ;7.127 ;22.601 ;9.2 ;0 ;6.142 ;6.406 ;101 ;64 ;yes ;chemistry.stackexchange.com
38,255 ;210 ;1.357 ;531 ;0.66 ;17 ;0.903 ;3.514 ;0.4 ;4 ;0.529 ;0.553 ;184 ;114 ;yes ;chemistry.stackexchange.com
38,255 ;208 ;2.867 ;695 ;5.842 ;17 ;4.171 ;36.33 ;4.4 ;7 ;3.184 ;3.322 ;244 ;169 ;yes ;chemistry.stackexchange.com
38,255 ;190 ;1.287 ;452 ;0.511 ;17 ;0.475 ;2.631 ;0 ;5 ;0.578 ;0.602 ;166 ;102 ;yes ;chemistry.stackexchange.com
38,257 ;217 ;0.083 ;667 ;0.138 ;42 ;0.58 ;4.261 ;4.8 ;7 ;3.162 ;3.298 ;264 ;143 ;no ;chemistry.stackexchange.com
38,257 ;208 ;13.616 ;255 ;1.798 ;4 ;7.839 ;9.967 ;7.2 ;4 ;3.599 ;3.754 ;43 ;48 ;no ;chemistry.stackexchange.com
38,257 ;219 ;4.213 ;453 ;2.385 ;31 ;4.406 ;23.377 ;5.6 ;3 ;3.429 ;3.577 ;184 ;89 ;no ;chemistry.stackexchange.com
38,258 ;213 ;6.849 ;767 ;4.19 ;20 ;3.951 ;10.855 ;7.2 ;4 ;1.915 ;1.997 ;281 ;214 ;yes ;chemistry.stackexchange.com
38,258 ;205 ;6.85 ;155 ;6.126 ;18 ;4.468 ;25.083 ;4.8 ;1 ;4.846 ;5.055 ;26 ;23 ;yes ;chemistry.stackexchange.com
38,258 ;212 ;10.979 ;553 ;1.943 ;9 ;7.777 ;8.261 ;8 ;0 ;2.182 ;2.276 ;201 ;160 ;yes ;chemistry.stackexchange.com
38,262 ;208 ;1.042 ;696 ;0.948 ;36 ;3.132 ;18.594 ;4.4 ;8 ;3.122 ;3.257 ;264 ;142 ;yes ;chemistry.stackexchange.com
38,262 ;204 ;1.65 ;172 ;3.272 ;27 ;3.311 ;27.184 ;4.4 ;2 ;3.44 ;3.588 ;89 ;14 ;yes ;chemistry.stackexchange.com
38,262 ;179 ;1.21 ;792 ;0.197 ;34 ;1.008 ;0.494 ;0.4 ;9 ;0.881 ;0.919 ;288 ;163 ;yes ;chemistry.stackexchange.com
38,263 ;207 ;1.276 ;628 ;1.44 ;33 ;2.647 ;18.531 ;4 ;8 ;2.754 ;2.873 ;227 ;119 ;yes ;chemistry.stackexchange.com
38,263 ;206 ;1.884 ;104 ;3.764 ;24 ;2.826 ;27.121 ;4 ;2 ;3.072 ;3.204 ;52 ;9 ;yes ;chemistry.stackexchange.com
38,263 ;189 ;1.444 ;724 ;0.295 ;31 ;0.523 ;0.557 ;0 ;9 ;0.513 ;0.535 ;251 ;140 ;yes ;chemistry.stackexchange.com
38,264 ;212 ;1.37 ;509 ;0.234 ;2 ;1.225 ;17.181 ;3.6 ;5 ;2.639 ;2.753 ;152 ;128 ;yes ;chemistry.stackexchange.com
38,264 ;192 ;5.43 ;311 ;9.158 ;13 ;5.464 ;45.91 ;6.4 ;5 ;1.909 ;1.991 ;118 ;79 ;yes ;chemistry.stackexchange.com
38,264 ;205 ;6.035 ;137 ;1.097 ;3 ;3.102 ;1.018 ;1.6 ;2 ;0.967 ;1.008 ;34 ;31 ;yes ;chemistry.stackexchange.com
38,265 ;219 ;3.064 ;651 ;2.163 ;8 ;3.696 ;21.744 ;4.8 ;9 ;3.883 ;4.051 ;212 ;163 ;yes ;chemistry.stackexchange.com
38,265 ;188 ;0.996 ;169 ;7.229 ;3 ;2.993 ;41.347 ;5.2 ;1 ;0.665 ;0.693 ;58 ;44 ;yes ;chemistry.stackexchange.com
38,265 ;204 ;1.601 ;279 ;0.832 ;7 ;0.631 ;3.545 ;0.4 ;2 ;0.277 ;0.29 ;94 ;66 ;yes ;chemistry.stackexchange.com
38,267 ;208 ;7.8 ;926 ;0.604 ;36 ;5.817 ;9.354 ;6 ;5 ;3.503 ;3.654 ;338 ;222 ;yes ;chemistry.stackexchange.com
38,267 ;210 ;2.732 ;91 ;5.308 ;11 ;1.934 ;22.098 ;1.2 ;0 ;1.501 ;1.566 ;16 ;37 ;yes ;chemistry.stackexchange.com
38,267 ;201 ;1.45 ;102 ;0.296 ;6 ;2.016 ;8.443 ;1.2 ;0 ;0.897 ;0.935 ;56 ;27 ;yes ;chemistry.stackexchange.com
38,268 ;218 ;9.256 ;1,049 ;3.292 ;65 ;8.8 ;36.65 ;10 ;1 ;6.934 ;7.233 ;407 ;212 ;yes ;chemistry.stackexchange.com
38,268 ;193 ;5.196 ;1,869 ;6.1 ;76 ;2.111 ;26.441 ;0 ;11 ;2.386 ;2.489 ;677 ;419 ;yes ;chemistry.stackexchange.com
